"","V1","V2","V3","V4"
"547",NA,7000,12000,8600
"548",NA,35000,4000,8500
"549",NA,18550,35000,18000
"550",NA,5000,3000,5000
"551",NA,12000,28000,7550
"552",NA,10000,17000,35000
"553",NA,35000,10000,31825
"554",NA,4900,12000,19200
"555",NA,10000,15000,14975
"556",NA,23000,28000,8000
"557",NA,24000,3000,25600
"558",NA,3200,12875,10825
"559",NA,10000,35000,20400
"560",NA,20000,35000,15000
"561",NA,6625,20050,6500
"562",NA,22000,5000,21000
"563",NA,2400,6225,17000
"564",NA,16000,12000,4000
"565",NA,35000,20000,25000
"566",NA,16000,12225,8500
"567",NA,17250,4200,7500
"568",NA,9875,2700,7000
"569",NA,10000,21000,6000
"570",NA,35000,14000,22800
"571",NA,20000,17500,8000
"572",NA,12000,6550,7500
"573",NA,20000,27150,3600
"574",NA,15000,7000,24000
"575",NA,12500,15000,12000
"576",NA,4800,10000,17275
"577",NA,6000,7000,30000
"578",NA,8000,12000,5500
"579",NA,20400,22000,21000
"580",NA,35000,35000,16000
"581",NA,33575,15000,2500
"582",NA,11875,10000,10000
"583",NA,12000,16000,20000
"584",NA,28000,18000,27350
"585",NA,19600,12000,8225
"586",NA,10000,20000,18150
"587",NA,10625,7000,17500
"588",NA,21600,35000,35000
"589",NA,30000,9600,14000
"590",NA,12000,20000,8000
"591",NA,20000,6400,35000
"592",NA,35000,7000,3600
"593",NA,28000,16000,12000
"594",NA,3000,3600,4800
"595",NA,12050,14400,5425
"596",NA,18825,13900,15000
"597",NA,13000,21000,30000
"598",NA,10400,20000,20000
"599",NA,8400,31050,21600
"600",NA,3000,3000,5500
"601",NA,20000,24000,14000
"602",NA,6400,10000,7175
"603",NA,10000,20000,1200
"604",NA,5375,16950,4425
"605",NA,29975,13000,35000
"606",NA,14000,1000,10000
"607",NA,11000,5000,12000
"608",NA,18000,12000,26400
"609",NA,12000,12000,12000
"610",NA,16325,11025,15000
"611",NA,12000,4500,21900
"612",NA,15000,20000,4950
"613",NA,1500,10000,7400
"614",NA,5000,35000,20000
"615",NA,3600,16950,12000
"616",NA,13000,20700,35000
"617",NA,9000,8000,14000
"618",NA,20000,22000,16000
"619",NA,15000,16000,16000
"620",NA,15000,15000,9600
"621",NA,15000,9000,24000
"622",NA,18000,16875,24000
"623",NA,5000,12000,10000
"624",NA,8000,27700,4000
"625",NA,11000,12000,10400
"626",NA,10000,21000,19500
"627",NA,19150,10000,18000
"628",NA,9000,30000,16000
"629",NA,16000,10000,18000
"630",NA,12000,20000,8000
"631",NA,16000,12000,35000
"632",NA,25000,15000,30000
"633",NA,28000,8000,14375
"634",NA,24000,12000,5000
"635",NA,25000,10000,2550
"636",NA,29325,15000,5000
"637",NA,10000,6000,12000
"638",NA,30000,6500,15000
"639",NA,7000,13850,30000
"640",NA,20000,22000,7000
"641",NA,6250,2400,12300
"642",NA,15000,8000,14400
"643",NA,35000,6000,15000
"644",NA,11500,6125,30000
"645",NA,15175,30000,6850
"646",NA,23000,6825,12600
"647",NA,33000,6000,10000
"648",NA,17000,30000,25000
"649",NA,20000,20000,27000
"650",NA,21000,35000,6000
"651",NA,7850,22800,10000
"652",NA,10400,12000,6500
"653",NA,12000,20000,15000
"654",NA,7000,16000,30000
"655",NA,10000,11000,2000
"656",NA,2800,16000,10000
"657",NA,10000,10000,18000
"658",NA,10000,6675,28000
"659",NA,35000,3000,13000
"660",NA,13000,6000,17275
"661",NA,18000,8000,30000
"662",NA,31450,10000,30000
"663",NA,11200,12000,5225
"664",NA,8000,10000,35000
"665",NA,3000,11575,12800
"666",NA,26375,10000,10000
"667",NA,15000,30000,18000
"668",NA,6100,27200,7500
"669",NA,11200,24000,18225
"670",NA,15000,10000,20000
"671",NA,14000,25200,24000
"672",NA,11200,10050,12000
"673",NA,15200,10000,18000
"674",NA,13550,10000,21950
"675",NA,20000,14300,4200
"676",NA,25000,8000,35000
"677",NA,4950,35000,16500
"678",NA,20000,15000,8000
"679",NA,4800,15000,24000
"680",NA,11000,24000,11500
"681",NA,11200,6775,23000
"682",NA,11700,4625,25000
"683",NA,28100,10000,10000
"684",NA,10000,30000,24000
"685",NA,23225,7000,6500
"686",NA,15000,26000,24700
"687",NA,30000,18000,4100
"688",NA,10000,20000,9600
"689",NA,19000,14000,15000
"690",NA,35000,20225,4000
"691",NA,5500,14000,19200
"692",NA,9250,12000,9000
"693",NA,9750,24000,6000
"694",NA,10000,12000,11000
"695",NA,15000,15075,5500
"696",NA,21250,4000,6550
"697",NA,35000,18000,1800
"698",NA,16050,20000,19350
"699",NA,6500,22000,19500
"700",NA,6000,34075,12000
"701",NA,28000,7000,22000
"702",NA,10000,12000,29250
"703",NA,13000,35000,5500
"704",NA,14400,13000,16000
"705",NA,20000,35000,8000
"706",NA,14350,6925,15000
"707",NA,30000,20000,12900
"708",NA,25000,5600,16000
"709",NA,5500,8000,20000
"710",NA,24000,10000,14000
"711",NA,20000,12000,25850
"712",NA,4000,20950,10000
"713",NA,20000,17125,9600
"714",NA,12000,16975,7500
"715",NA,5600,20000,25000
"716",NA,15000,4000,12325
"717",NA,16000,35000,22000
"718",NA,4000,34750,10000
"719",NA,4000,27300,5700
"720",NA,20000,15000,4000
"721",NA,7000,20000,35000
"722",NA,10000,2500,15000
"723",NA,12000,30000,18250
"724",NA,10000,12500,28600
"725",NA,6950,20800,5400
"726",NA,9250,14000,24000
"727",NA,25000,12075,35000
"728",NA,2000,13000,18450
"729",NA,5275,4800,5400
"730",NA,9600,8000,8500
"731",NA,20000,12500,27500
"732",NA,10000,16000,18000
"733",NA,6000,10000,5000
"734",NA,9000,17475,2500
"735",NA,16000,16000,24000
"736",NA,15000,18000,16000
"737",NA,20000,14600,29000
"738",NA,10000,35000,16750
"739",NA,6925,8000,10000
"740",NA,14000,12000,35000
"741",NA,15000,11200,2500
"742",NA,6000,7000,5000
"743",NA,16000,10000,5700
"744",NA,12500,15000,18000
"745",NA,11200,15000,15000
"746",NA,2500,25000,11625
"747",NA,15000,15000,16000
"748",NA,16150,35000,14000
"749",NA,7200,4500,6000
"750",NA,35000,15000,7000
"751",NA,23000,24000,10500
"752",NA,10000,10000,6000
"753",NA,11450,7350,7350
"754",NA,24000,9100,6000
"755",NA,2000,20000,13000
"756",NA,14625,18000,21000
"757",NA,9000,22000,7000
"758",NA,24000,10000,20000
"759",NA,35000,28000,8000
"760",NA,7500,25500,16000
"761",NA,30000,8000,18000
"762",NA,12125,24075,20575
"763",NA,21675,12000,12000
"764",NA,5500,35000,14300
"765",NA,30000,3000,24625
"766",NA,13250,10000,8000
"767",NA,13700,7500,20000
"768",NA,24000,19200,5000
"769",NA,5000,3000,10000
"770",NA,28000,6000,25000
"771",NA,15000,16000,11200
"772",NA,28000,10000,31525
"773",NA,32000,30000,12000
"774",NA,26500,7000,20000
"775",NA,12000,18000,12000
"776",NA,10000,9500,12000
"777",NA,25000,30000,14000
"778",NA,18400,10000,10000
"779",NA,14400,30000,5000
"780",NA,10800,3500,6000
"781",NA,3600,15200,16000
"782",NA,8000,11000,19000
"783",NA,12000,16000,35000
"784",NA,18000,10000,26000
"785",NA,29000,28000,20000
"786",NA,12000,5600,20400
"787",NA,18000,10000,29000
"788",NA,25000,4850,20000
"789",NA,26000,6000,12000
"790",NA,2000,14400,7000
"791",NA,24850,28800,30000
"792",NA,6000,11000,10000
"793",NA,25000,6000,8000
"794",NA,18000,16200,29600
"795",NA,8000,3500,35000
"796",NA,18000,10000,25825
"797",NA,28800,14500,12000
"798",NA,20000,12000,35000
"799",NA,17225,26775,4200
"800",NA,25000,18000,4700
"801",NA,4000,8000,11400
"802",NA,14000,8000,7000
"803",NA,2000,25000,12000
"804",NA,18000,12000,1000
"805",NA,11000,30000,1500
"806",NA,10775,10000,6500
"807",NA,1000,11200,19800
"808",NA,16000,8000,13600
"809",NA,19000,10000,35000
"810",NA,8000,34000,12575
"811",NA,11200,35000,10000
"812",NA,14000,13100,19600
"813",NA,16000,11000,9600
"814",NA,6000,10300,25200
"815",NA,28000,30000,21600
"816",NA,12000,6000,8500
"817",NA,18000,30000,6800
"818",NA,8800,10000,12000
"819",NA,12800,6000,4250
"820",NA,35000,12400,20000
"821",NA,19800,13500,17000
"822",NA,5725,21000,2100
"823",NA,9000,8000,8400
"824",NA,35000,22000,20000
"825",NA,10000,16000,10000
"826",NA,14000,14000,13000
"827",NA,7000,12325,10000
"828",NA,19075,24925,4800
"829",NA,15000,4000,15000
"830",NA,11975,16800,17500
"831",NA,7000,12000,35000
"832",NA,15000,12000,24000
"833",NA,30000,7500,13500
"834",NA,12000,35000,21000
"835",NA,35000,10000,29175
"836",NA,12000,29975,12000
"837",NA,20000,12000,18325
"838",NA,2775,10000,15000
"839",NA,8225,13600,20000
"840",NA,30000,15000,35000
"841",NA,22275,8000,10000
"842",NA,18500,30000,12000
"843",NA,20000,26000,14850
"844",NA,9100,21725,17000
"845",NA,9325,8000,5000
"846",NA,10000,8000,2025
"847",NA,27200,6225,12000
"848",NA,22325,14000,15600
"849",NA,9150,14000,5000
"850",NA,9800,15000,5000
"851",NA,10000,10000,12000
"852",NA,24000,11200,20000
"853",NA,5000,8000,10000
"854",NA,35000,20000,13925
"855",NA,34100,9475,4000
"856",NA,5675,2000,17000
"857",NA,12000,16500,35000
"858",NA,23875,21000,15000
"859",NA,30000,9850,10800
"860",NA,20000,35000,35000
"861",NA,32000,35000,25000
"862",NA,25000,7000,12000
"863",NA,10000,5000,8000
"864",NA,35000,3625,13000
"865",NA,3725,5000,5600
"866",NA,3000,21000,30000
"867",NA,20000,8800,8000
"868",NA,12000,5000,5400
"869",NA,7200,30000,35000
"870",NA,5500,12000,2000
"871",NA,10000,28000,10000
"872",NA,9000,24000,18000
"873",NA,30000,12050,8000
"874",NA,7500,9600,7000
"875",NA,18500,35000,7500
"876",NA,4200,11000,18450
"877",NA,18000,15000,35000
"878",NA,19725,5000,24850
"879",NA,7000,14400,3000
"880",NA,31200,19800,12800
"881",NA,20000,27275,2800
"882",NA,16800,35000,5600
"883",NA,12000,6000,15000
"884",NA,14700,17200,16500
"885",NA,15500,12000,4500
"886",NA,35000,15000,6000
"887",NA,12000,4800,18700
"888",NA,25000,4200,20150
"889",NA,30000,12000,6000
"890",NA,16000,25000,15000
"891",NA,12000,27000,15000
"892",NA,10000,10650,30000
"893",NA,6000,3800,21000
"894",NA,24000,11000,10925
"895",NA,5500,21000,7000
"896",NA,12500,23600,32000
"897",NA,11000,11000,24000
"898",NA,11875,35000,4525
"899",NA,24000,20000,30000
"900",NA,18000,15000,21000
"901",NA,2600,6000,6500
"902",NA,20225,6725,12000
"903",NA,10800,35000,15000
"904",NA,7000,20000,4000
"905",NA,14000,8500,15000
"906",NA,16000,19700,20000
"907",NA,9600,12000,14000
"908",NA,11000,21000,12000
"909",NA,12000,2000,10000
"910",NA,15000,9000,21600
"911",NA,20675,12000,19000
"912",NA,23850,12000,14400
"913",NA,20500,5625,14225
"914",NA,12500,10000,20000
"915",NA,25000,16000,10800
"916",NA,20000,10000,5200
"917",NA,9025,35000,1200
"918",NA,5950,5600,20000
"919",NA,10000,9800,15850
"920",NA,33600,18000,9000
"921",NA,8000,4000,12000
"922",NA,12000,10000,15000
"923",NA,15000,11200,9000
"924",NA,24000,6000,5000
"925",NA,15000,20000,35000
"926",NA,24000,15000,8000
"927",NA,10000,2500,15000
"928",NA,5000,17125,24000
